Dataset,FileName,Type,|V|,|E|
LAW,hollywood-2009.txt,LU,1139905,113891327
LAW,eu-2015-tpd.txt,LU,6650532,170145510
LAW,indochina-2004.txt,LU,7414865,194109311
LAW,hollywood-2011.txt,LU,2180759,228985632
LAW,uk-2002.txt,LU,18520343,298113762
LAW,eu-2015-host.txt,LU,11264052,386915963
LAW,gsh-2015-tpd.txt,LU,30809122,602119716
LAW,arabic-2005.txt,LU,22744077,639999458
LAW,uk-2005.txt,LU,39459923,936364282
LAW,webbase-2021.txt,LU,118142155,1019903190
LAW,it-2004.txt,LU,41291594,1150725436
LAW,gsh-2015-host.txt,LU,68660142,1802747600
LAW,sk-2005.txt,LU,50636154,1949412601
SNAP,p2p-Gnutella08.txt,SU,6301,20777
SNAP,p2p-Gnutella09.txt,SU,8114,26013
SNAP,p2p-Gnutella06.txt,SU,8717,31525
SNAP,p2p-Gnutella05.txt,SU,8846,31839
SNAP,p2p-Gnutella04.txt,SU,10879,39994
SNAP,p2p-Gnutella25.txt,SU,22687,54705
SNAP,p2p-Gnutella24.txt,SU,26518,65369
SNAP,p2p-Gnutella30.txt,SU,36682,88328
SNAP,Wiki-Vote.txt,SU,8298,103689
SNAP,p2p-Gnutella31.txt,SU,62586,147892
SNAP,Email-EuAll.txt,SU,265214,420045
SNAP,soc-Epinions1.txt,SU,75888,508837
SNAP,Slashdot0811.txt,SU,77360,905468
SNAP,Slashdot0902.txt,SU,82168,948464
SNAP,Amazon0302.txt,SU,262111,1234877
SNAP,web-NotreDame.txt,SU,325729,1497134
SNAP,web-Stanford.txt,SU,281904,2312497
SNAP,twitter.txt,U,81306,2420766
SNAP,Amazon0312.txt,SU,400727,3200440
SNAP,Amazon0505.txt,SU,410236,3356824
SNAP,Amazon0601.txt,SU,403394,3387388
SNAP,WikiTalk.txt,SU,2394385,5021410
SNAP,web-Google.txt,SU,916428,5105039
SNAP,web-BerkStan.txt,SU,685231,7600595
SNAP,wiki-topcats.txt,LU,1791489,28511807
SNAP,gplus.txt,U,107614,30494866
SNAP,soc-pokec-relationships.txt,LU,1632804,30622564
SNAP,soc-LiveJournal1.txt,SU,4847571,68993773
SYN,syn-16,U,32768,65536
SYN,syn-17,U,32768,131072
SYN,syn-18,U,32768,262144
SYN,syn-19,U,262144,524288
SYN,syn-20,U,262144,1048576
SYN,syn-21,U,262144,2097152
SYN,syn-22,U,2097152,4194304
SYN,syn-23,U,2097152,8388608
SYN,syn-24,U,2097152,16777216
SYN,syn-25,U,16777216,33554432
SYN,syn-26,U,16777216,67108864
SYN,syn-27,U,16777216,134217728
SYN,syn-28,U,134217728,268435456
SYN,syn-29,U,134217728,536870912
SYN,syn-30,U,134217728,1073741824
